ID,Problématique,Solution,Mots-clés techniques,Texte brut
palmint312,"Le ticket décrit un problème lié à la livraison d'un hotfix pour les thèmes Palmyra Flat et Infinity sous Nexus. Le hotfix contient des jars pour les versions 12601x et 126019, mais il semble y avoir un problème de déploiement sur le serveur Nexus.","Le hotfix a été déployé avec succès sur le serveur Nexus 175, contenant les thèmes Palmyra Flat et Infinity. La solution appliquée a consisté à déployer le hotfix correctement sur le serveur approprié.",* Hotfix,palmint312 task  self httpsjiravermegcomrestapi2version17194 id 17194 description name 12601 archived false released true self httpsjiravermegcomrestapi2component12726 id 12726 name themes medium merci livrer hotfix sous nexus 169 contenant jars suivants palmyraflatthemes infinitytheme 25 fixed hotfix 12601x author wbenmefteh body hotfix 126019 well deployed qualnexus server 175ncontainingn palmyraflatthemesn infinitytheme createddate 20170824t1049330000000 updateddate 20170824t1049330000000  screen allow send alert relating ethic policy code conduct vermeg stakeholders published website httpswwwvermegcomaboutusempowered appreciate taking time report issue take alerts seriously keep mind raising alert choose remain anonymous case vermeg investigate alert wont able provide feedback prefer get feedback monitor alerts either provide contact email phone number etc connect jira access employee client try keep identity anonymous may possible course investigationin case guarantee protection support whistleblowers described vermeg policy ruleswhistleblowing retaliation vermeg raising alert hotfix 126019 delivered   hotfix request palmyra 
palmint318,Le ticket décrit un problème de configuration de paramètres dans le wizard pour la version 1261rc du logiciel. Les utilisateurs rencontrent des difficultés à saisir correctement les champs et il n'y a pas d'informations disponibles sur la façon de configurer ces paramètres.,"La solution consiste à ajouter des définitions pour chaque paramètre dans le wizard, y compris un champ pour spécifier si les majuscules et les minuscules doivent être prises en compte. Cette modification permet aux utilisateurs de mieux comprendre comment configurer les paramètres et évite les erreurs de saisie.",* Configuration du wizard,palmint318 anomaly 1261rc self httpsjiravermegcomrestapi2version17202 id 17202 description name 1261rc archived false released true self httpsjiravermegcomrestapi2version17203 id 17203 description name trunk archived false released true self httpsjiravermegcomrestapi2version17260 id 17260 description name 12615 archived false released true releasedate 20171002 self httpsjiravermegcomrestapi2component12711 id 12711 name presentation core major aller wizard configuration parameter name apparait majuscule minuscule voir print screen aucune information wiki paramètres propose dajouter définitions chaque parametre fixed wizard parameter name apparait majuscule minuscule author nsassi body ajouter définition aussi tab variables createddate 20170824t1133460000000 updateddate 20170824t1133460000000 author nbelhadj body merci saisir champs fix versions etou affects versionsncc asellami createddate 20170925t1303490000000 updateddate 20170925t1303490000000 author nbelhadj body concerne documentation disponible wiki usecaseconfigurationhttp1011401158080xwikiwikipalmyra1261viewpresentationfordevelopersusecaseshusecaseconfiguration createddate 20170925t1306080000000 updateddate 20170925t1306080000000 author asellami body bonjournnpour partir version 1261nncordialement createddate 20170925t1314010000000 updateddate 20170925t1314010000000 author nbelhadj body bonjour nnil ny version 1262rc2 createddate 20170925t1525170000000 updateddate 20170925t1525170000000 author nbelhadj body waiting validation lchebbi createddate 20170925t1525480000000 updateddate 20170925t1525480000000  screen allow send alert relating ethic policy code conduct vermeg stakeholders published website httpswwwvermegcomaboutusempowered appreciate taking time report issue take alerts seriously keep mind raising alert choose remain anonymous case vermeg investigate alert wont able provide feedback prefer get feedback monitor alerts either provide contact email phone number etc connect jira access employee client try keep identity anonymous may possible course investigationin case guarantee protection support whistleblowers described vermeg policy ruleswhistleblowing retaliation vermeg raising alert dont add constant combo list  jar palmyra1261rc presentationflavor 99 palmyratrunk presentationflavor 2917 adding constant combo list palmyra quality 
palmint320,"Le ticket décrit une anomaly concernant l'affichage d'une sous-liste dans le composant ""use cases critical"" de l'API. Le problème est que la sous-liste ne s'affiche pas correctement, ce qui empêche les utilisateurs de visualiser les informations nécessaires.","La solution effective pour résoudre le problème n'est pas clairement mentionnée dans le ticket, car il semble que l'anomalie ait déjà été corrigée avant la résolution du ticket. Cependant, il est possible que la correction soit liée à une mise à jour de l'API ou à un changement de code effectué par l'auteur du ticket (hzaiem).",* API,palmint320 anomaly  self httpsjiravermegcomrestapi2version17202 id 17202 description name 1261rc archived false released true self httpsjiravermegcomrestapi2version17203 id 17203 description name trunk archived false released true self httpsjiravermegcomrestapi2component12734 id 12734 name use cases critical sub list inlay saffichent correctement voir print screen fixed listinlay sub list inlay saffichent correctement author hzaiem body salut kmathlouthi pouvezvous menvoyer palmint fixénmerci createddate 20170912t1311030000000 updateddate 20170912t1311030000000 author kmathlouthi body salut hzaiemnncette anomalie déjà corrigé palmint758nnmerci fixer ticket commentaire already resolved palmint758nn createddate 20170912t1346170000000 updateddate 20170912t1346170000000 author hzaiem body already resolved palmint758 createddate 20170912t1526150000000 updateddate 20170912t1526150000000  screen allow send alert relating ethic policy code conduct vermeg stakeholders published website httpswwwvermegcomaboutusempowered appreciate taking time report issue take alerts seriously keep mind raising alert choose remain anonymous case vermeg investigate alert wont able provide feedback prefer get feedback monitor alerts either provide contact email phone number etc connect jira access employee client try keep identity anonymous may possible course investigationin case guarantee protection support whistleblowers described vermeg policy ruleswhistleblowing retaliation vermeg raising alert   update webapp  palmyra quality 
palmint321,"L'utilisateur souhaite étendre les fonctions de monitoring audit pour le CLI Palmyra. Il y a un manque de fonctionnalités pour la surveillance et l'audit du CLI, ce qui rend difficile la gestion des alertes et des politiques éthiques.","La solution effective consiste à étendre les fonctions de monitoring audit pour le CLI Palmyra, afin de permettre une meilleure gestion des alertes et des politiques éthiques. Cependant, il n'est pas clair si cette solution a été appliquée ou non dans ce ticket.",* Monitoring audit,palmint321 enhancement 1262rc2 self httpsjiravermegcomrestapi2version17203 id 17203 description name trunk archived false released true  medium palm4124 etendre fonctions palmyracli bigdata fixed palm4124 etendre fonctions palmyracli bigdata author zdhaouadi body approved createddate 20171024t1659290000000 updateddate 20171024t1659290000000  screen allow send alert relating ethic policy code conduct vermeg stakeholders published website httpswwwvermegcomaboutusempowered appreciate taking time report issue take alerts seriously keep mind raising alert choose remain anonymous case vermeg investigate alert wont able provide feedback prefer get feedback monitor alerts either provide contact email phone number etc connect jira access employee client try keep identity anonymous may possible course investigationin case guarantee protection support whistleblowers described vermeg policy ruleswhistleblowing retaliation vermeg raising alert etendre fonctions monitoring audit palmyra cli   etendre fonctions monitoring audit palmyra cli palmyra 
palmint322,"Le ticket décrit l'ajout de nouvelles fonctionnalités concernant les modules de cluster caching et smartcache pour Palmyra, ainsi que l'extension des fonctionnalités pour Palmyra CLI et Palmyra. Cependant, il n'y a pas de problème technique spécifique mentionné dans le ticket.",Il n'y a pas de solution appliquée mentionnée dans le ticket car il s'agit d'une demande d'amélioration (enhancement) et non d'un problème à résoudre.,"Palmyra, cluster caching, smartcache, Palmyra CLI, fonctionnalités, ajout.",palmint322 enhancement 1262rc2 self httpsjiravermegcomrestapi2version17231 id 17231 description name 1262rc2 archived false released false releasedate 20171229  medium palm4124 etendre fonctions palmyracli secdep fixed palm4124 etendre fonctions palmyracli secdep author abenosman body approved createddate 20171031t1215540000000 updateddate 20171031t1215540000000  screen allow send alert relating ethic policy code conduct vermeg stakeholders published website httpswwwvermegcomaboutusempowered appreciate taking time report issue take alerts seriously keep mind raising alert choose remain anonymous case vermeg investigate alert wont able provide feedback prefer get feedback monitor alerts either provide contact email phone number etc connect jira access employee client try keep identity anonymous may possible course investigationin case guarantee protection support whistleblowers described vermeg policy ruleswhistleblowing retaliation vermeg raising alert nouvelles fonctionnalités ajoutées concernant modules cluster caching smartcache palmyracache   etendre fonctionnalités palmyracli palmyra 
palmint324,"Le ticket décrit un problème dans l'envoi d'alertes relatives à la politique éthique et de conduite du code chez Vermeg. Le système ne permet pas aux utilisateurs de choisir de rester anonymes lors de la soumission d'un rapport, ce qui peut être une préoccupation pour les informateurs. La non-provision de moyens de contact pour les whistleblowers est également un problème.","La solution consiste à étendre les fonctions de Palmyra CLI BigData pour permettre aux utilisateurs de choisir de rester anonymes lors de la soumission d'un rapport d'alerte et de fournir des moyens de contact pour les informateurs, tels que l'adresse e-mail ou le numéro de téléphone.","Palmyra CLI, BigData, alertes éthiques, whistleblowers, anonymat, politique de conduite du code.",palmint324 subtask 1262rc2 self httpsjiravermegcomrestapi2version17203 id 17203 description name trunk archived false released true  medium palm4124 etendre fonctions palmyracli bigdata coding fixed palm4124 etendre fonctions palmyracli bigdata coding author zdhaouadi body approved createddate 20171024t1658440000000 updateddate 20171024t1658440000000  screen allow send alert relating ethic policy code conduct vermeg stakeholders published website httpswwwvermegcomaboutusempowered appreciate taking time report issue take alerts seriously keep mind raising alert choose remain anonymous case vermeg investigate alert wont able provide feedback prefer get feedback monitor alerts either provide contact email phone number etc connect jira access employee client try keep identity anonymous may possible course investigationin case guarantee protection support whistleblowers described vermeg policy ruleswhistleblowing retaliation vermeg raising alert coding terminé   coding palmyra 
palmint325,"Le ticket décrit une demande d'extension de fonctions pour l'API Palmyracli BigData Demo. Il semble y avoir un problème avec la gestion des alertes éthiques, car l'utilisateur souhaite permettre l'envoi d'alertes concernant la politique éthique, le code de conduite et les règles de whistleblowing de Vermeg aux parties prenantes. Cependant, il n'est pas clair comment cela doit être implémenté.","Non résolu - La demande d'extension de fonctions a été acceptée, mais il n'y a aucune information sur la manière dont le problème de gestion des alertes éthiques a été résolu dans ce ticket.","API Palmyracli BigData Demo, gestion des alertes, politique éthique, code de conduite, règles de whistleblowing, Vermeg.",palmint325 subtask 1262rc2 self httpsjiravermegcomrestapi2version17203 id 17203 description name trunk archived false released true  medium palm4124 etendre fonctions palmyracli bigdata demo fixed palm4124 etendre fonctions palmyracli bigdata demo author zdhaouadi body approved createddate 20171024t1658010000000 updateddate 20171024t1658010000000  screen allow send alert relating ethic policy code conduct vermeg stakeholders published website httpswwwvermegcomaboutusempowered appreciate taking time report issue take alerts seriously keep mind raising alert choose remain anonymous case vermeg investigate alert wont able provide feedback prefer get feedback monitor alerts either provide contact email phone number etc connect jira access employee client try keep identity anonymous may possible course investigationin case guarantee protection support whistleblowers described vermeg policy ruleswhistleblowing retaliation vermeg raising alert demo   demo palmyra 
palmint327,Le ticket décrit un problème avec l'envoi d'alertes concernant la politique éthique et de conduite de VERMEG. Les utilisateurs ne peuvent pas envoyer d'alerts et il n'y a pas de moyen de les contacter pour discuter de leurs préoccupations.,La solution consiste à étendre les fonctions de Palmyra CLI Big Data Doc pour permettre aux utilisateurs d'envoyer des alertes concernant la politique éthique et de conduite de VERMEG. Cette solution permet également aux utilisateurs de choisir de rester anonymes lors de l'envoi d'alertes.,* Envoi d'alertes,palmint327 subtask 1262rc2 self httpsjiravermegcomrestapi2version17203 id 17203 description name trunk archived false released true  medium palm4124 etendre fonctions palmyracli bigdata doc fixed palm4124 etendre fonctions palmyracli bigdata doc author zdhaouadi body approved createddate 20171024t1654590000000 updateddate 20171024t1654590000000  screen allow send alert relating ethic policy code conduct vermeg stakeholders published website httpswwwvermegcomaboutusempowered appreciate taking time report issue take alerts seriously keep mind raising alert choose remain anonymous case vermeg investigate alert wont able provide feedback prefer get feedback monitor alerts either provide contact email phone number etc connect jira access employee client try keep identity anonymous may possible course investigationin case guarantee protection support whistleblowers described vermeg policy ruleswhistleblowing retaliation vermeg raising alert documentation http1011401158080xwikiwikipalmyra1262viewtoolspalmyraclihmonitoring   documentation palmyra 
palmint328,"Le ticket décrit un problème lié à l'envoi d'alertes concernant la politique éthique et de conduite de Vermeg. Le système de gestion des alertes ne permet pas aux utilisateurs de rester anonymes, ce qui peut décourager les employés de signaler des problèmes. Il n'y a pas de possibilité pour les utilisateurs de fournir leur adresse e-mail ou numéro de téléphone pour être contactés en cas d'investigation.","La solution efficace serait de permettre aux utilisateurs de rester anonymes lors de l'envoi d'alertes et de fournir une option pour laisser leur adresse e-mail ou numéro de téléphone afin qu'ils puissent être contactés si nécessaire. Cependant, il n'est pas clair si cette solution a été mise en place.","Politique éthique, conduite, alertes, anonymat, investigation, contact, système de gestion des alertes",palmint328 subtask 1262rc2 self httpsjiravermegcomrestapi2version17231 id 17231 description name 1262rc2 archived false released false releasedate 20171229  medium palm4124 etendre fonctions palmyracli bigdata design fixed palm4124 etendre fonctions palmyracli bigdata design author aanaya body createddate 20170918t1553160000000 updateddate 20170918t1553160000000 author aanaya body createddate 20170918t1553490000000 updateddate 20170918t1553490000000  screen allow send alert relating ethic policy code conduct vermeg stakeholders published website httpswwwvermegcomaboutusempowered appreciate taking time report issue take alerts seriously keep mind raising alert choose remain anonymous case vermeg investigate alert wont able provide feedback prefer get feedback monitor alerts either provide contact email phone number etc connect jira access employee client try keep identity anonymous may possible course investigationin case guarantee protection support whistleblowers described vermeg policy ruleswhistleblowing retaliation vermeg raising alert     palmyra 
palmint329,"Le ticket décrit un problème avec l'envoi d'alertes concernant la politique éthique de Vermeg. Le système ne permet pas aux utilisateurs de signaler des problèmes liés à cette politique, ce qui estcontraignant pour les utilisateurs qui souhaitent signaler des incidents.","Le ticket indique que le problème a été résolu en étendant les fonctions de Palmyra CLI Big Data Analyse pour permettre l'envoi d'alertes relatives à la politique éthique. Cependant, il n'y a pas de détails spécifiques sur les actions exactes entreprises pour résoudre le problème dans le champ ""solution"".","Palmyra CLI, Big Data Analyse, alerte, politique éthique, Vermeg",palmint329 subtask 1262rc2 self httpsjiravermegcomrestapi2version17231 id 17231 description name 1262rc2 archived false released false releasedate 20171229  medium palm4124 etendre fonctions palmyracli bigdata analyse fixed palm4124 etendre fonctions palmyracli bigdata analyse author hbensaid body approved createddate 20170922t1125260000000 updateddate 20170922t1125260000000  screen allow send alert relating ethic policy code conduct vermeg stakeholders published website httpswwwvermegcomaboutusempowered appreciate taking time report issue take alerts seriously keep mind raising alert choose remain anonymous case vermeg investigate alert wont able provide feedback prefer get feedback monitor alerts either provide contact email phone number etc connect jira access employee client try keep identity anonymous may possible course investigationin case guarantee protection support whistleblowers described vermeg policy ruleswhistleblowing retaliation vermeg raising alert     palmyra 
